workerid,trial_type,order,error,response,type,id,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,practice_trial,1,FALSE,0,filler,low_right,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
0,practice_trial,2,FALSE,1,filler,high_right,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
0,one_slider,3,NA,1,prime,mail,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
0,one_slider,4,NA,1,prime,inherit,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
0,one_slider,5,NA,1,prime,birthday,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
0,one_slider,6,NA,1,prime,dealership,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
0,one_slider,7,NA,1,crit,party,English,1,Male,25,no,Language,Yes,0.25,2,Windows,768,1360,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,339ANSOTR616L6GFE9300X1WYC8KI5,0,Approved,Sat May 26 05:06:07 PDT 2018,Fri May 25 12:24:14 PDT 2018,Fri May 25 12:26:07 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_exclu,1.65215
1,practice_trial,1,FALSE,0.05,filler,low_right,English,1,Female,34,no,Perception of the English Language,Yes,0.1,3,Windows,768,1366,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,35H6S234SBZNA30B5LQ515S9SVJ65D,1,Approved,Sat May 26 05:06:19 PDT 2018,Fri May 25 12:24:45 PDT 2018,Fri May 25 12:26:19 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_oneshot,1.403183333
1,practice_trial,2,FALSE,0.81,filler,high_right,English,1,Female,34,no,Perception of the English Language,Yes,0.1,3,Windows,768,1366,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,35H6S234SBZNA30B5LQ515S9SVJ65D,1,Approved,Sat May 26 05:06:19 PDT 2018,Fri May 25 12:24:45 PDT 2018,Fri May 25 12:26:19 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_oneshot,1.403183333
1,one_slider,3,NA,0.85,crit,party,English,1,Female,34,no,Perception of the English Language,Yes,0.1,3,Windows,768,1366,Chrome,3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,373MH2DFEYZMZFBQ6491XEERMLCBHZ,Participate in a Linguistics Experiment!,Provide your judgments about sentences of English.,language research stanford fun cognitive science university explanations,$0.20,Fri May 25 12:23:35 PDT 2018,220,0,0,220,Reviewable,NotReviewed,1 cond,1800,60000,Sun Jun 24 12:23:35 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3TUOHPJXYHWRJH1XC7H23ZNJXBVXWR,35H6S234SBZNA30B5LQ515S9SVJ65D,1,Approved,Sat May 26 05:06:19 PDT 2018,Fri May 25 12:24:45 PDT 2018,Fri May 25 12:26:19 PDT 2018,Sat May 26 05:06:55 PDT 2018,,,,,[],or_noprime_oneshot,1.403183333
